Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Organism Part],Term Source 2 REF,Term Source 2 Accession,Experimental Condition [Fluorescent Labels],Comment [Fluorescent Label Reference DOIs],Image File,Comment [Image File Path],Comment [Image File Type],Channels
membranes,056F63395C,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP,10.1016/j.devcel.2006.02.019,056F63395C_8bit_lynEGFP.tif,./056F63395C/056F63395C_8bit_lynEGFP.tif,raw,lynEGFP:cell membranes
membranes,08B96BE794,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP,10.1016/j.devcel.2006.02.019,08B96BE794_8bit_lynEGFP.tif,./08B96BE794/08B96BE794_8bit_lynEGFP.tif,raw,lynEGFP:cell membranes
membranes,0B51F8B46C,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP,10.1016/j.devcel.2006.02.019,0B51F8B46C_8bit_lynEGFP.tif,./0B51F8B46C/0B51F8B46C_8bit_lynEGFP.tif,raw,lynEGFP:cell membranes
membranes,0E48AB134C,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP,10.1016/j.devcel.2006.02.019,0E48AB134C_8bit_lynEGFP.tif,./0E48AB134C/0E48AB134C_8bit_lynEGFP.tif,raw,lynEGFP:cell membranes
membranes,1C43D83E9A,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP,10.1016/j.devcel.2006.02.019,1C43D83E9A_8bit_lynEGFP.tif,./1C43D83E9A/1C43D83E9A_8bit_lynEGFP.tif,raw,lynEGFP:cell membranes
membranes,22DF2AE1A0,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP,10.1016/j.devcel.2006.02.019,22DF2AE1A0_8bit_lynEGFP.tif,./22DF2AE1A0/22DF2AE1A0_8bit_lynEGFP.tif,raw,lynEGFP:cell membranes
membranes,2902E38204,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP,10.1016/j.devcel.2006.02.019,2902E38204_8bit_lynEGFP.tif,./2902E38204/2902E38204_8bit_lynEGFP.tif,raw,lynEGFP:cell membranes
membranes,2B23352582,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP,10.1016/j.devcel.2006.02.019,2B23352582_8bit_lynEGFP.tif,./2B23352582/2B23352582_8bit_lynEGFP.tif,raw,lynEGFP:cell membranes
membranes,3612A6CEF5,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP,10.1016/j.devcel.2006.02.019,3612A6CEF5_8bit_lynEGFP.tif,./3612A6CEF5/3612A6CEF5_8bit_lynEGFP.tif,raw,lynEGFP:cell membranes
membranes,4DC24FC301,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP,10.1016/j.devcel.2006.02.019,4DC24FC301_8bit_lynEGFP.tif,./4DC24FC301/4DC24FC301_8bit_lynEGFP.tif,raw,lynEGFP:cell membranes
membranes,673A65D087,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP,10.1016/j.devcel.2006.02.019,673A65D087_8bit_lynEGFP.tif,./673A65D087/673A65D087_8bit_lynEGFP.tif,raw,lynEGFP:cell membranes
membranes,6F18162F4C,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP,10.1016/j.devcel.2006.02.019,6F18162F4C_8bit_lynEGFP.tif,./6F18162F4C/6F18162F4C_8bit_lynEGFP.tif,raw,lynEGFP:cell membranes
membranes,8713481504,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP,10.1016/j.devcel.2006.02.019,8713481504_8bit_lynEGFP.tif,./8713481504/8713481504_8bit_lynEGFP.tif,raw,lynEGFP:cell membranes
membranes,8C633380D2,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP,10.1016/j.devcel.2006.02.019,8C633380D2_8bit_lynEGFP.tif,./8C633380D2/8C633380D2_8bit_lynEGFP.tif,raw,lynEGFP:cell membranes
membranes,8C83D4387F,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP,10.1016/j.devcel.2006.02.019,8C83D4387F_8bit_lynEGFP.tif,./8C83D4387F/8C83D4387F_8bit_lynEGFP.tif,raw,lynEGFP:cell membranes
membranes,8CA33561B5,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP,10.1016/j.devcel.2006.02.019,8CA33561B5_8bit_lynEGFP.tif,./8CA33561B5/8CA33561B5_8bit_lynEGFP.tif,raw,lynEGFP:cell membranes
membranes,AB98466077,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP,10.1016/j.devcel.2006.02.019,AB98466077_8bit_lynEGFP.tif,./AB98466077/AB98466077_8bit_lynEGFP.tif,raw,lynEGFP:cell membranes
membranes,B95A4F6D95,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP,10.1016/j.devcel.2006.02.019,B95A4F6D95_8bit_lynEGFP.tif,./B95A4F6D95/B95A4F6D95_8bit_lynEGFP.tif,raw,lynEGFP:cell membranes
membranes,C95F528559,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP,10.1016/j.devcel.2006.02.019,C95F528559_8bit_lynEGFP.tif,./C95F528559/C95F528559_8bit_lynEGFP.tif,raw,lynEGFP:cell membranes
membranes,CB87D7CBC9,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP,10.1016/j.devcel.2006.02.019,CB87D7CBC9_8bit_lynEGFP.tif,./CB87D7CBC9/CB87D7CBC9_8bit_lynEGFP.tif,raw,lynEGFP:cell membranes
membranes,E013272A99,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP,10.1016/j.devcel.2006.02.019,E013272A99_8bit_lynEGFP.tif,./E013272A99/E013272A99_8bit_lynEGFP.tif,raw,lynEGFP:cell membranes
membranes,E6E56C3F42,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP,10.1016/j.devcel.2006.02.019,E6E56C3F42_8bit_lynEGFP.tif,./E6E56C3F42/E6E56C3F42_8bit_lynEGFP.tif,raw,lynEGFP:cell membranes
membranes,EC77708A51,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP,10.1016/j.devcel.2006.02.019,EC77708A51_8bit_lynEGFP.tif,./EC77708A51/EC77708A51_8bit_lynEGFP.tif,raw,lynEGFP:cell membranes
membranes_seg,FC90367714_seg,Danio rerio,NCBITaxon,NCBITaxon_7955,primary posterior lateral line primordium,ZFA,ZFA_0005115,cldnB:lyn-EGFP,10.1016/j.devcel.2006.02.019,FC90367714_8bit_lynEGFP.tif,./FC90367714/FC90367714_8bit_lynEGFP.tif,raw,lynEGFP:cell membranes
